original_language,original_title,release_date,,runtime,runtime,tagline,vote_average,price;
en,Lars and the Real Girl,12/10/2007,,106,106,The search for true love begins outside the box.,7.1,6.99;
en,Gone Baby Gone,19/10/2007,,113,113,Everyone wants the truth... until they find it.,7.2,6.99;
en,Can't Help Singing,25/12/1944,,90,90,LOVELY is the Word! DEANNA in TECHNICOLOR for the First Thrilling Time! with the Miracle Melodies of JEROME KERN!,8.5,7.99;
en,Scum,12/09/1979,,98,98,The film they tried to ban! A brutal story of today.,7.3,6.99;
en,The Sea Wolf,21/03/1941,,100,100,Jack London's great novel of terror afloat.,7.2,6.99;
en,Chilly Scenes of Winter,19/10/1979,,92,92,A romantic comedy for all seasons.,10,9.99;
en,American Gangster,02/11/2007,,157,157,There are two sides to the American dream,7.4,6.99;
en,No Country for Old Men,08/11/2007,,122,122,There are no clean getaways.,7.7,7.99;
en,August Rush,21/11/2007,,114,114,An incredible journey moving at the speed of sound,7.2,6.99;
en,The Man from Earth,10/06/2007,,87,87,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,7.7,7.99;
en,Harrison Bergeron,13/08/1995,,99,99,Welcome to the future. It's a no-brainer.,7.6,7.99;
en,This Christmas,27/11/2007,,117,117,You can't exchange family.,7.2,6.99;
en,Futurama: Bender's Big Score,27/11/2007,,88,88,Just when you thought it was safe to watch something else!,7.4,6.99;
en,That Hamilton Woman,03/04/1941,,128,128,The Year's Most Exciting Team of Screen Lovers !,7.5,7.99;
en,Noise,31/01/2004,,84,84,What would you do for a good night's sleep?,8,7.99;
en,The Devil Came on Horseback,19/01/2007,,85,85,A witness to evil. A force for peace. An unbelievable true story.,7.9,7.99;
en,The War on Democracy,15/06/2007,,96,96,Never believe anything until it is officially denied,7.6,7.99;
en,Between Two Worlds,20/05/1944,,112,112,They lived in the Shadow of Death!,7.3,6.99;
en,The Kite Runner,14/10/2007,,128,128,There is a way to be good again.,7.3,6.99;
en,Commune,07/04/2005,,78,78,Peace and love are only half the story.,7.8,7.99;
en,There Will Be Blood,28/12/2007,,158,158,There Will Be Greed. There Will Be Vengeance.,7.9,7.99;
en,Battlestar Galactica: Razor,18/12/2007,,88,88,Fear gets you killed. Anger keeps you alive.,7.2,6.99;
en,The Mad Magician,19/05/1954,,72,72,3D THRILL! Fuel for the human bonfire!,7.1,6.99;
en,And Soon the Darkness,10/09/1970,,99,99,Remember the way Hitchcock kept you on the edge of your seat...?,7.1,6.99;
en,In Bruges,08/02/2008,,107,107,Shoot first. Sightsee later.,7.4,6.99;
en,Keeper of the Flame,28/01/1943,,100,100,The screen's most exciting lovers in their newest romantic triumph!,7.3,6.99;
"en,War Dance,09/11/2007,,105,105,""The war stole everything, except their music."",7.3,6.99";
en,The Dark Knight,16/07/2008,,152,152,Why So Serious?,8.3,7.99;
"en,Pierrepoint: The Last Hangman,07/12/2005,,98,98,""1940's England. When the world needed a hero, he gave them what they wanted. But history can be cruel."",7.7,7.99";
en,The Gymnast,11/04/2006,,96,96,Rise Above.,7.5,7.99;
en,Ji jie hao,09/10/2007,,124,124,Assembly,7.1,6.99;
en,Shine a Light,07/02/2008,,122,122,A master director shining his light on the best rock band on the planet.,7.2,6.99;
en,The Thief Who Came to Dinner,01/03/1973,,104,104,Webster and Laura took everything they wanted ... each other ... and a diamond worth $6.000.000.,8.3,7.99;
en,Religulous,01/10/2008,,101,101,Heaven help us.,7.2,6.99;
en,Iron Man,30/04/2008,,126,126,Heroes aren't born. They're built.,7.4,6.99;
en,Taken,18/02/2008,,93,93,They took his daughter.  He'll take their lives.,7.2,6.99;
en,The Fall,03/01/2008,,117,117,A little blessing in disguise.,7.7,7.99;
en,An American Crime,27/07/2007,,97,97,The true story of a child's punishment that became a woman's crime.,7.3,6.99;
en,The Man Between,18/11/1953,,100,100,Terror! Vice! Violence! He stopped at nothing!,7.3,6.99;
en,a/k/a Tommy Chong,14/06/2006,,84,84,Ceci m' est pas une pipe,7.3,6.99;
en,The Window,06/08/1949,,73,73,It never lets you go!,7.3,6.99;
en,Shelter,16/06/2007,,97,97,Home is where you least expect to find it,7.8,7.99;
en,Young @ Heart,02/10/2008,,107,107,You're Never Too Old To Rock.,7.6,7.99;
en,Lake of Fire,09/09/2006,,152,152,Exploring the Issue that Divides the World,8.1,7.99;
"en,The Iron Mask,21/02/1929,,103,103,""The Further Adventures of """"The Three Musketeers""""!"",7.3,6.99";
en,WALL·E,22/06/2008,,98,98,An adventure beyond the ordinar-E.,7.8,7.99;
en,Surfwise,01/01/2007,,93,93,Reject normal.,7.4,6.99;
en,The Rape of Europa,01/01/2006,,117,117,Imagine The World Without Our Masterpieces,7.4,6.99;
"en,Encounters at the End of the World,01/09/2007,,99,99,""Off the map, things get strange."",7.2,6.99";
"en,""It's the Great Pumpkin, Charlie Brown"",27/10/1966,,25,25,Every year he rises from the pumpkin patch...,7.3,6.99";
en,The Tall T,02/04/1957,,78,78,Taut! Torrid! Tremendous! T Is for Terror!,7.1,6.99;
en,Blast of Silence,31/03/1961,,77,77,An unforgettable experience in suspense!  ... as seconds tick off a timetable ... for murder!,7.4,6.99;
en,Felon,17/07/2008,,103,103,No rule. No hope. No way out.,7.1,6.99;
en,Man on Wire,25/07/2008,,94,94,1974. 1350 feet up. The artistic crime of the century.,7.5,7.99;
en,Trumbo,10/09/2007,,96,96,Hollywood Blacklisted Him ... But He Had The Last Word.,7.5,7.99;
en,John Adams,16/03/2008,,501,501,Join or Die,7.6,7.99;
en,Six Shooter,01/01/2004,,27,27,A black and bloody Irish comedy,7.5,7.99;
en,Look Back in Anger,28/05/1959,,98,98,An electrifying adult experience... from the sensational play by John Osborne that shocked the world!,7.1,6.99;
en,Marjoe,24/07/1972,,88,88,You Keep the Faith...Marjoe Keeps the Money,8.5,7.99;
"en,The Secret Life of Bees,17/09/2008,,114,114,""Bring Your Girlfriends, Sisters, Mothers and Daughters."",7.4,6.99";
en,The Express,10/10/2008,,130,130,He changed our country... one yard at a time.,7.1,6.99;
"en,Changeling,30/01/2008,,141,141,""To find her son, she did what no one else dared."",7.3,6.99";
"en,Slumdog Millionaire,12/05/2008,,120,120,""What does it take to find a lost love? A. Money, B. Luck, C. Smarts, D. Destiny"",7.6,7.99";
"en,Farscape: The Peacekeeper Wars,01/01/2004,,182,182,""John Crichton may not have started the war, but only he can end it."",7.5,7.99";
en,Milk,26/11/2008,,128,128,Never Blend In.,7.1,6.99;
"en,The Boy in the Striped Pyjamas,07/05/2008,,94,94,""Lines may divide us, but hope will unite us."",7.7,7.99";
"en,Hunger,15/05/2008,,96,96,""An odyssey, in which the smallest gestures become epic and when the body is the last resource for protest."",7.2,6.99";
en,A Matter of Loaf and Death,03/12/2008,,30,30,Dough to Door delivery.,7.2,6.99;
"en,Fools' Parade,18/08/1971,,98,98,""Glory, W.Va., 1935. It wasn't exactly a parade. It wasn't a time for celebration. It was a time to run for your life."",7.1,6.99";
en,Patterns,27/03/1956,,83,83,Ruthless Men And Ambitious Women...Clawing For Control Of A Billion Dollar Empire!!!,7.5,7.99;
en,Gran Torino,09/12/2008,,116,116,Ever come across somebody you shouldn't have messed with?,7.8,7.99;
en,Frost/Nixon,15/10/2008,,122,122,400 million people were waiting for the truth.,7.2,6.99;
en,The Reader,10/12/2008,,124,124,Behind the mystery lies a truth that will make you question everything you know.,7.2,6.99;
en,Seven Pounds,18/12/2008,,123,123,Seven names. Seven strangers. One secret.,7.5,7.99;
en,The Wrestler,07/09/2008,,109,109,Love. Pain. Glory.,7.3,6.99;
"en,The Curious Case of Benjamin Button,24/11/2008,,166,166,""Life isn't measured in minutes, but in moments."",7.3,6.99";
"en,Blackadder Back & Forth,06/12/1999,,33,33,""The final episode in the saga of the Blackadder family, who have forever been at the very center of British history and society."",7.1,6.99";
en,The Gamers: Dorkness Rising,01/01/2008,,105,105,They'll be taking a few liberties with the rules.,7.6,7.99;
en,Albuquerque,20/02/1948,,90,90,Blazing guns made history each day...and warm lips made memories at night...,7.1,6.99;
en,The Man,19/07/1972,,93,93,It took an accident to make this man President of the United States. What they do to him now won't be an accident.,8,7.99;
en,Triumph of the Nerds: The Rise of Accidental Empires,22/06/1996,,165,165,An Irreverant History of the PC Industry,7.5,7.99;
en,Coraline,05/02/2009,,100,100,Be careful what you wish for.,7.3,6.99;
en,Futurama: Into the Wild Green Yonder,23/02/2009,,90,90,All the other galaxies will be green with envy!,7.2,6.99;
en,Bigger Than Life,02/08/1956,,95,95,The story of the handful of hope that became a fistful of hell!,7.4,6.99;
en,Hell to Eternity,01/08/1960,,131,131,The Marines' Battle Cry of the South Pacific!,10,9.99;
en,Dr. Horrible's Sing-Along Blog,15/07/2008,,42,42,He has a Ph.D. in horribleness!,7.8,7.99;
en,Billy Budd,12/11/1962,,119,119,The Men!.. The Mutiny!...The Might!... The Magnitude Of Herman Melville's Classic Adventure of the High Seas!,7.8,7.99;
"en,Anvil! The Story of Anvil,14/01/2008,,90,90,""At fourteen, they made a pact to rock together forever. They meant it."",7.7,7.99";
en,Border Incident,28/10/1949,,94,94,The Shame of Two Nations!,7.2,6.99;
en,Can-Can,09/03/1960,,131,131,The Entertainment Event of the Year!,7.2,6.99;
en,The Boat That Rocked,01/04/2009,,116,116,On air. Off shore. Out of control.,7.2,6.99;
en,Inglourious Basterds,18/08/2009,,153,153,Once upon a time in Nazi occupied France...,7.9,7.99;
en,The Damned United,27/03/2009,,97,97,They love me for what I'm not... ...they hate me for what I am.,7.2,6.99;
en,Moon,12/06/2009,,97,97,The last place you'd ever expect to find yourself.,7.6,7.99;
en,The Young Victoria,04/03/2009,,105,105,Love rules all.,7.1,6.99;
en,Star Trek,06/05/2009,,127,127,The future begins.,7.4,6.99;
en,Black Magic,19/08/1944,,67,67,Chan stalks a fiendish murderer!,8.2,7.99;
en,Earth,22/04/2007,,90,90,The remarkable story of three families.,7.5,7.99;
en,A Lady Takes a Chance,19/08/1943,,86,86,IT'S SCREWY...And So Funny! IT'S RIOTOUS...And Romantic!,7.5,7.99;
en,Rhinoceros,21/01/1974,,104,104,The comedy that proves people are still the funniest animals.,7.5,7.99;
en,The War Game,01/11/1965,,48,48,BBC TV's film about a nuclear attack on Britain directed by Peter Watkins.,7.8,7.99;
en,The Hangover,05/06/2009,,100,100,Some guys just can't handle Vegas.,7.2,6.99;
en,The Stoning of Soraya M.,07/09/2008,,114,114,When a deadly conspiracy became a shameful cover-up One witness refused to be silent.,8,7.99;
en,The Hurt Locker,10/10/2008,,131,131,You'll know when you're in it.,7.2,6.99;
en,Tu£sday,10/10/2008,,79,79,Same Bank. Same Day. Different Story.,8,7.99;
en,Prison Break: The Final Break,26/05/2009,,89,89,Prepare yourself for the truth,7.5,7.99;
"en,My Sister's Keeper,26/06/2009,,109,109,""A tale of life, love, and letting go."",7.1,6.99";
en,(500) Days of Summer,17/07/2009,,95,95,It was almost like falling in love.,7.2,6.99;
en,Magnificent Obsession,30/12/1935,,112,112,After You See It You'll Never Be the Same!,8,7.99;
en,Harry Potter and the Half-Blood Prince,07/07/2009,,153,153,Dark Secrets Revealed,7.4,6.99;
en,Rage at Dawn,26/03/1955,,87,87,SHOWDOWN AT SUNUP!,7.3,6.99;
en,District 9,05/08/2009,,112,112,You are not welcome here.,7.3,6.99;
"en,""Next Stop, Greenwich Village"",04/02/1976,,111,111,1953 Was a Good Year for Leaving Home,7.2,6.99";
en,Seven Waves Away,17/04/1957,,100,100,14 of these survivors must be cast adrift! Which will the Captain choose?,8.7,8.99;
en,Murder Ahoy,01/06/1964,,93,93,New mischief amidst the mizzen-masts!,7.2,6.99;
en,Witch Hunt,01/01/2008,,91,91,Some convictions are criminal,7.7,7.99;
en,Frequently Asked Questions About Time Travel,24/04/2009,,83,83,Three guys. One pub. Too much time on their hands.,7.1,6.99;
en,Louis Theroux: The Most Hated Family in America,01/04/2007,,60,60,Meet the Westboro Baptist Church,7.6,7.99;
"en,""Food, Inc."",07/09/2008,,94,94,You'll never look at dinner the same way again.,7.3,6.99";
en,The Cove,31/07/2009,,92,92,Shallow Water. Deep Secret.,7.9,7.99;
en,Clubbed,02/10/2008,,95,95,A journey through family and fear in the violent world of '80s clubland.,7.3,6.99;
en,Zombieland,07/10/2009,,88,88,This place is so dead,7.2,6.99;
en,Law Abiding Citizen,15/10/2009,,109,109,The System Must Pay.,7.2,6.99;
en,Mary and Max,09/02/2009,,92,92,Sometimes perfect strangers make the best friends.,7.8,7.99;
en,Black Dynamite,16/10/2009,,90,90,He's super bad. He's outta sight. He's...,7.3,6.99;
en,Fantastic Mr. Fox,23/10/2009,,87,87,Dig the life fantastic!,7.5,7.99;
"en,A Night to Remember,10/12/1942,,88,88,""THE MOST MIRTHFUL, MURDER MYSTERY IN YEARS!"",7.3,6.99";
en,Partly Cloudy,28/05/2009,,5,5,Charming and cute and clever,7.9,7.99;
"en,Wattstax,04/02/1973,,98,98,""100,000 brothers and sisters turning onto being black... and telling it like it is!"",7.8,7.99";
en,Doomwatch,01/03/1972,,92,92,An ecological nightmare gone berserk!,7.4,6.99;
en,The Blind Side,20/11/2009,,129,129,Based on the extraordinary true story,7.2,6.99;
en,Earthlings,24/09/2005,,95,95,Make The Connection,7.6,7.99;
en,Avatar,10/12/2009,,162,162,Enter the World of Pandora.,7.2,6.99;
"en,The Friends of Eddie Coyle,26/06/1973,,102,102,""It's a grubby, violent, dangerous world. But it's the only world they know. And they're the only friends Eddie has."",7.6,7.99";
"en,Hachi: A Dog's Tale,13/06/2009,,93,93,""A true story of faith, devotion and undying love."",7.7,7.99";
en,Jos rakastat,06/01/2010,,121,121,Menneisyyttä ei voi paeta ikuisesti. Antaako rakkaus lopulta kaiken anteeksi?,7.5,7.99;
en,Nowhere Boy,25/12/2009,,98,98,As a boy all John Lennon needed was love.,7.2,6.99;
en,Dante's Hell Animated,25/11/2013,,35,35,The real epic animation as written by Dante Alighieri,8,7.99;
en,Too Many Husbands,03/04/1940,,81,81,JUST MARRIED.......BUT TO WHOM?,7.2,6.99;
en,More Than a Game,06/09/2008,,105,105,The incredible true story of LeBron James and the Akron Fab Five,7.2,6.99;
en,Temple Grandin,06/02/2010,,108,108,Autism gave her a vision. She gave it a voice.,7.7,7.99;
"en,Désirée,16/11/1954,,110,110,""The rise and fall of Napoleon Bonaparte, Emperor of France."",7.2,6.99";
en,Shutter Island,18/02/2010,,138,138,Someone is missing.,7.8,7.99;
en,The Secret of Kells,09/02/2009,,75,75,Turn the darkness into light,7.3,6.99;
en,Oceans,17/10/2009,,84,84,Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.,7.3,6.99;
en,How to Train Your Dragon,05/03/2010,,98,98,One adventure will change two worlds,7.5,7.99;
en,Kick-Ass,22/03/2010,,117,117,Shut up. Kick ass.,7.1,6.99;
en,Cain and Mabel,26/09/1936,,90,90,It's the Romantic Battle of the Century with a World championship Cast!,8,7.99;
en,Waking Sleeping Beauty,05/09/2009,,86,86,From 1984 to 1994 a perfect storm of people and circumstances changed the face of animation forever.,7.4,6.99;
en,The Roman Spring of Mrs. Stone,28/12/1961,,103,103,The story of an American woman and her abandonment in Rome.,7.4,6.99;
en,This Is the Army,14/08/1943,,121,121,It's your own army - in the army's own show!,8.3,7.99;
en,Exit Through the Gift Shop,24/01/2010,,87,87,The world's first Street Art disaster movie,7.6,7.99;
en,Julia Sweeney - Letting Go of God,21/11/2008,,130,130,Breaking up is hard to do,8.4,7.99;
en,Night Must Fall,30/04/1937,,116,116,AMAZING! DIFFERENT! UNIQUE!,7.6,7.99;
en,Pinky,28/09/1949,,102,102,The poignant story of a girl who fell hopelessly in love!,7.7,7.99;
en,Big River Man,15/01/2009,,100,100,The film documenting Martin Strel's historic swim down the Amazon,7.8,7.99;
en,Four Lions,07/05/2010,,101,101,We are 4 Lions.,7.1,6.99;
en,Little Fugitive,06/10/1953,,80,80,Morris Engel's All-American Classic,7.3,6.99;
"en,Bonhoeffer: Agent of Grace,14/06/2000,,88,88,""A true story of love, courage, and sacrifice."",7.5,7.99";
en,Ricky Gervais Live: Animals,17/11/2003,,73,73,Life on Earth: the bits David Attenborough left out,7.5,7.99;
"en,Ricky Gervais Live 2: Politics,15/11/2004,,68,68,""A year after Animals, Ricky Gervais comes back with his second stand up comedy tour: Politics."",7.5,7.99";
en,Bless the Beasts & Children,18/10/1971,,109,109,Only one animal kills just for the sport of it... Guess which...,8.8,8.99;
en,Gigot,01/11/1962,,104,104,A new joy has come to the screen... and the world is a happier place to live in!,8.5,7.99;
en,Toy Story 3,16/06/2010,,103,103,No toy gets left behind.,7.6,7.99;
"en,""East Side, West Side"",22/12/1949,,108,108,I was married to a man other women pursued!,7.8,7.99";
en,Casino Jack and the United States of Money,09/05/2010,,118,118,Come See Where Your Democracy Went,7.3,6.99;
en,Captain from Castile,25/12/1947,,140,140,Master of Women's Hearts . . . . . . . Conqueror of a New World.,7.4,6.99;
en,Best Worst Movie,01/01/2009,,93,93,The Story Behind The Worst Movie Ever Made - Troll 2,7.4,6.99;
"en,Gumshoe,01/12/1971,,88,88,""the sleuth, the whole sleuth and nothing but the sleuth"",7.1,6.99";
en,Kurt Cobain: About a Son,03/10/2006,,96,96,Kurt Cobain in his own words.,7.1,6.99;
"en,The Gazebo,16/12/1959,,100,100,""All the love, laughs and murderous fun of the Broadway smash hit!"",8.7,8.99";
en,9/11: The Twin Towers,03/09/2006,,98,98,9/11: The Day the World Changed,8,7.99;
en,When You're Strange,17/01/2009,,86,86,A film about The Doors,7.5,7.99;
en,Young Bess,29/05/1953,,112,112,A Great and Spectacular Drama!,7.1,6.99;
en,Despicable Me,08/07/2010,,95,95,Superbad. Superdad.,7.1,6.99;
en,Inception,14/07/2010,,148,148,Your mind is the scene of the crime.,8.1,7.99;
en,Batman: Under the Red Hood,27/07/2010,,75,75,Dare to Look Beneath the Hood.,7.6,7.99;
"en,Mr. Nobody,11/09/2009,,156,156,""Nothing is real, everything is possible."",7.9,7.99";
en,In a Day,08/03/2006,,81,81,...anything can happen.,7.1,6.99;
en,Lucky,24/01/2010,,90,90,A documentary about the American lottery and some of the industry's biggest winners (and losers).,8,7.99;
en,The L-Shaped Room,20/11/1962,,126,126,Sex is not a forbidden word.,7.2,6.99;
en,The Two Escobars,22/06/2010,,100,100,Sometimes it really is a matter of life and death.,7.6,7.99;
en,Scott Pilgrim vs. the World,27/07/2010,,112,112,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,7.2,6.99;
en,12th & Delaware,01/04/2010,,90,90,Every day a battle is born.,8.4,7.99;
en,Gasland,24/01/2010,,107,107,Can you light your water on fire?,7.4,6.99;
en,Visual Acoustics,09/10/2009,,83,83,The modernism of Julius Shulman,7.8,7.99;
en,Hated:  GG Allin & the Murder Junkies,01/01/1994,,50,50,GG Allin is God,7.3,6.99;
"en,Bananaz,07/02/2008,,92,92,""A documentary on the cryptic cartoon band, Gorillaz."",8,7.99";
en,Larceny Inc.,24/04/1942,,96,96,Hold onto your hearts girls!!! Here comes the racket king!,7.1,6.99;
en,The Social Network,30/09/2010,,120,120,You don't get to 500 million friends without making a few enemies.,7.1,6.99;
en,Susan Slept Here,14/07/1954,,98,98,She slept in his bed...wore his pajamas - THEN SHE REALLY TOOK OVER!,7.7,7.99;
en,Flipped,06/08/2010,,89,89,You never forget your first love.,7.4,6.99;
en,Mudhoney,25/05/1965,,92,92,...leaves a taste of evil!,7.5,7.99;
"en,The Crimson Wing: Mystery of the Flamingos,17/12/2008,,78,78,""One lake, a million birds, an incredible story!"",7.3,6.99";
en,West Point,07/01/1928,,95,95,His idea of Field Manuevers weren't military -- he thought they meant a petting party! While the other,7.5,7.99;
en,One Million B.C.,26/04/1940,,80,80,So amazing you won't believe your eyes!,7.5,7.99;
"en,Inside Job,08/10/2010,,109,109,""The film that cost $20,000,000,000,000 to make."",7.7,7.99";
en,Bianca Beauchamp: All Access,21/07/2007,,85,85,The most fun you can get at a fetish event without actually having to dress up!,8,7.99;
"en,Restrepo,25/06/2010,,93,93,""One platoon, one valley, one year"",7.3,6.99";
en,The Fox,13/12/1967,,110,110,Between Ellen and Jill came Paul...,7.8,7.99;
"en,Det Perfekte Menneske,01/01/1967,,13,13,""Look at him now, look at him all the time."",7.2,6.99";
en,Undisputed III : Redemption,22/05/2010,,96,96,One deadly tournament. Last fight for freedom.,7.3,6.99;
"en,Black Swan,02/12/2010,,108,108,""In the era of personal branding, the scariest possibility is that someone might be better at being you than you are."",7.3,6.99";
en,Harry Potter and the Deathly Hallows: Part 1,17/10/2010,,146,146,One Way… One Fate… One Hero.,7.5,7.99;
en,The King's Speech,06/09/2010,,118,118,Find your voice.,7.6,7.99;
en,Tangled,24/11/2010,,100,100,They're taking adventure to new lengths.,7.4,6.99;
en,Neptune's Daughter,10/06/1949,,95,95,With a Great Cast of Stars! Bathing Beauties! Songs and Spectacle!,7.7,7.99;
en,The Fighter,17/12/2010,,116,116,Every dream deserves a fighting chance.,7.2,6.99;
en,The Tillman Story,22/08/2010,,94,94,a mystery. a cover up. a crime. one family will risk everything for the truth.,7.7,7.99;
en,October Country,01/06/2009,,80,80,Every family has its ghosts.,8.5,7.99;
en,The Passionate Friends,26/01/1949,,86,86,Their affair took on a life of its own.,7.1,6.99;
"en,Men in War,19/03/1957,,102,102,""""""One more step and I'll fill your guts with lead!"""""",7.1,6.99";
en,Intruder in the Dust,22/11/1949,,87,87,It's Sensational!,7.8,7.99;
en,True Grit,22/12/2010,,110,110,Punishment Comes One Way or Another.,7.2,6.99;
en,Barney's Version,26/10/2010,,134,134,First he got married. Then he got married again. Then he met the love of his life.,7.2,6.99;
"en,One Foot in Heaven,01/11/1941,,108,108,""Folks, meet a grand FATHER! He's the affable, laffable head of the most delightful family that ever stepped out of America's screens...into America's hearts!"",7.8,7.99";
en,The Home Song Stories,09/02/2007,,103,103,Every Family Has a Story to Hide,7.5,7.99;
"en,Blood and Concrete,13/09/1991,,99,99,""Since 8:00, Joey's been stabbed, chased, followed by the cops, made love to, and accused of murder. It's 8:45."",7.3,6.99";
en,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,16/10/2009,,92,92,Half of democracy is just showing up.,7.6,7.99;
en,The Scientist,16/04/2010,,87,87,What Do You Think Happens When You Die?,9,8.99;
en,The North Star,04/11/1943,,108,108,A rolling wall of hell that couldn't be stopped... A handful of men who had to stop it!,8,7.99;
en,Tucker and Dale vs Evil,22/01/2010,,89,89,Evil just messed with the wrong hillbillies.,7.3,6.99;
en,The Pixar Story,28/08/2007,,87,87,Documentary about the history of Pixar animation,7.7,7.99;
en,Waste Land,24/01/2010,,90,90,What happens in the world's largest trash city will transform you.,7.6,7.99;
en,Toys in the Attic,31/07/1963,,90,90,Toys in the Attic Plays With Fire!,7.5,7.99;
"en,The Marrying Kind,01/02/1952,,92,92,""""""Shaddup!"""""",7.8,7.99";
"en,Street Angel,09/04/1928,,102,102,""Not Just Another """"Motion Picture"""" -- """"Street Angel Is the Masterpiece of All Time"""""",7.1,6.99";
en,Blues in the Night,15/11/1941,,88,88,2 GRAND BANDS! JIMMY LUNCEFORD'S and WILL OSBORNE'S! MUSIC GALORE!,7.5,7.99;
en,Limitless,08/03/2011,,105,105,What if a pill could make you rich and powerful?,7.1,6.99;
en,Happy People: A Year in the Taiga,03/09/2010,,94,94,The director of Cave of Forgotten Dreams and Grizzly Man takes you on an epic journey into the heart of the Siberian wilderness,7.6,7.99;
en,Trial,07/10/1955,,105,105,Tense! Timely! Thrilling!,8,7.99;
en,I Knew It Was You: Rediscovering John Cazale,16/01/2009,,39,39,A Tribute to John Cazale,7.4,6.99;
en,Dog Pound,24/04/2010,,91,91,Fighting Back Is The Only Way Out,7.5,7.99;
en,The World According to Sesame Street,21/05/2006,,104,104,A Global Documentary Of Local Proportions,8,7.99;
"en,Werewolves on Wheels,19/11/1971,,85,85,""If you're hairy, you belong on a motorbike!"",7.4,6.99";
en,Desert Flower,24/09/2009,,120,120,The extraordinary true story of the woman who crossed the desert and changed the world.,7.2,6.99;
en,The Sunset Limited,12/02/2011,,90,90,Nothing is ever black or white.,7.1,6.99;
en,Winnie the Pooh and Tigger Too,20/09/1974,,25,25,It's POOH-fectly TIGGER-ific and it's ALL NEW,8.1,7.99;
en,Herb & Dorothy,05/06/2009,,89,89,You don't have to be a Rockefeller to collect art.,7.2,6.99;
en,Cave of Forgotten Dreams,10/09/2010,,90,90,Humanity's Lost Masterpiece... in 3D,7.1,6.99;
en,A Little Night Music,01/12/1977,,124,124,Send in the clowns... send in the crowds... the Tony-Award winning musical is now a lot of movie!,7.5,7.99;
en,Source Code,30/03/2011,,93,93,Make Every Second Count,7.1,6.99;
en,Kind Lady,20/06/1951,,78,78,Broadway's dramatic thunderbolt!,7.3,6.99;
en,Beneath Hill 60,15/04/2010,,122,122,BENEATH HILL 60 featuring Captain Woodward MC commanding the Australian Hill 60 Tunnelers of World War 1,7.2,6.99;
en,Senna,07/10/2010,,106,106,The legend of the greatest driver who ever lived.,8.1,7.99;
"en,Bye Bye Braverman,21/02/1968,,94,94,""This motion picture is conceived to erase the memory of Leslie Braverman who had the poor taste to drop dead, without warning, thereby inflicting on his family and friends all sorts of burdensome inconveniences--like, for openers, the funeral."",8.7,8.99";
en,River of Grass,04/08/1995,,76,76,Being outlaws was rougher than they thought,7.1,6.99;
"en,Boy,14/02/2010,,87,87,""Summer, Girls, Gangs, Drugs ... its not easy being eleven."",7.5,7.99";
en,Life Is Hot in Cracktown,01/01/2009,,99,99,Be cool. You're so cool. Life is cool in Cracktown.,7.3,6.99;
"en,Dear Heart,02/12/1964,,114,114,""Two hours from now, two total strangers will meet at a hotel convention in the most unconventional love affair in years!"",8,7.99";
"en,The Crimson Kimono,01/10/1959,,82,82,""YES, this beautiful American girl in the arms of a Japanese boy!"",7.2,6.99";
en,Mildred Pierce,27/03/2011,,336,336,Having It All Would Cost Her Everything.,7.3,6.99;
"en,My Dog Tulip,01/01/2009,,83,83,""Sometimes, love really is a bitch."",7.6,7.99";
en,Fast Five,20/04/2011,,130,130,Get the Fifth Gear.,7.1,6.99;
en,Eye of the Dolphin,24/08/2007,,100,100,She found her voice in the ocean... And within herself.,7.1,6.99;
en,All I Desire,25/06/1953,,79,79,Now He Knew Her as Other Men Had!,7.7,7.99;
en,This Above All,12/05/1942,,110,110,He's lost his belief in everything but love.,7.5,7.99;
en,John Rabe,02/04/2009,,134,134,History Needs Extraordinary Heroes,7.2,6.99;
en,The Way,10/09/2010,,128,128,You don't choose a life. You live one.,7.2,6.99;
en,X-Men: First Class,24/05/2011,,132,132,Witness the moment that will change our world.,7.1,6.99;
en,Submarine,18/03/2011,,97,97,A comedy that doesn't let principles stand in the way of progress.,7.4,6.99;
en,Cautiva,20/03/2004,,115,115,Two names. One truth. A whole life ahead.,7.7,7.99;
en,The President's Lady,21/05/1953,,96,96,They branded her adulteress!,7.8,7.99;
"en,""Have Dreams, Will Travel"",21/05/2007,,86,86,You're never too young to have a plan,7.8,7.99";
en,The Carey Treatment,29/03/1972,,101,101,Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,7.7,7.99;
en,The Mysterious Lady,04/08/1928,,89,89,GRETA GARBO AND CONRAD NAGEL The Screen's Newest Discovery of Perfect Young Lovers,7.5,7.99;
"en,Page One: Inside the New York Times,29/04/2011,,88,88,""This year, the biggest story is their own."",7.1,6.99";
en,Hot Coffee,27/06/2011,,85,85,Is Justice Being Served?,7.5,7.99;
en,Upside Down: The Creation Records Story,19/10/2010,,101,101,The story of ’The most Rock ‘n’ Roll label ever’,7.2,6.99;
en,Harry Potter and the Deathly Hallows: Part 2,07/07/2011,,130,130,It all ends here.,7.9,7.99;
en,Drive,06/08/2011,,100,100,There are no clean getaways.,7.4,6.99;
